Entry_No,Date,Description,WorkDescription,Contact_No,Contact_Name,Contact_Company_Name,Duration_Min,Salesperson_Code,User_ID,Quote_ID,Quote_Amount,Quote_Age_Days,Customer_Type,Source_Channel,Product_Type,Past_Interactions,Prior_Orders,Salesperson,Lead_Priority
926,2024-09-08,Service call,Inspect equipment,02381671,Donald Walker,Huff PLC,51,369,387,Q1025,267801,2,Corporate,Website,Mixed,2 (calls),6,PMNYABUTO,High Priority
927,2024-07-31,Consultation,Repair machinery,95218909,Nancy Ramirez,Walter-Berry,138,106,393,Q1026,344154,20,Government,FloApp,High-margin,2 (calls),10,PMMULWA,Medium Priority
928,2025-01-28,Installation request,Upgrade system,36253715,Bradley Sanchez,Reese-Terrell,20,858,330,Q1027,134482,19,Government,Website,Mixed,"5 (calls, visits)",15,PMAMAI,Medium Priority
929,2025-01-18,Service call,Repair machinery,61235778,Aaron Vasquez MD,Walter and Sons,89,106,400,Q1028,494308,2,Reseller,Website,High-margin,2 (calls),9,PMNYABUTO,High Priority
930,2025-03-18,Service call,Inspect equipment,51750691,Danielle Estrada,Little-Campbell,157,445,345,Q1029,71781,2,Individual,Email,Low-margin,"3 (calls, visits)",15,PMMULWA,Medium Priority
931,2025-04-06,Installation request,Repair machinery,44695958,Sean Williams,"Lewis, Hill and Hamilton",41,106,362,Q1030,45757,11,NGO,Shopify,High-margin,"5 (calls, visits)",4,PMKILONZO,Medium Priority
932,2024-07-24,Installation request,Inspect equipment,39166390,Kevin Garcia,"Hernandez, Watson and Webb",105,514,387,Q1031,241632,16,Reseller,FloApp,Mixed,"6 (calls, visits, emails)",1,PMOMONDI,Medium Priority
933,2024-11-16,Consultation,Install product,30732274,Dr. John Berger,Myers-Harding,72,106,301,Q1032,106035,27,Contractor,FloApp,High-margin,"5 (calls, visits)",12,PMAMAI,Medium Priority
934,2025-04-11,Service call,Upgrade system,06727989,Brittany Cain,"Johnson, Bailey and Barr",128,514,344,Q1033,269254,14,Corporate,Referral,Mixed,"4 (calls, visits)",3,PMAMAI,Medium Priority
935,2025-02-17,Service call,Install product,75268923,Gabriel Murphy,"Burns, Schultz and Fowler",111,858,325,Q1034,235512,10,Contractor,FloApp,High-margin,"5 (calls, visits)",15,PMNYABUTO,High Priority
936,2024-07-10,Consultation,Upgrade system,84030036,Jill Williams,"Brown, Gomez and Robles",39,445,358,Q1035,45070,17,Individual,Shopify,High-margin,2 (calls),10,PMOMONDI,Medium Priority
937,2025-03-18,Service call,Upgrade system,63429001,Karina Strickland,Williams-Harrison,25,445,355,Q1036,273202,6,Contractor,Walk-in,Mixed,"6 (calls, visits, emails)",13,PMMULWA,High Priority
938,2024-10-11,Installation request,Repair machinery,92387312,Dr. Timothy Williamson,Ellis-Barnes,31,369,308,Q1037,168605,12,Contractor,FloApp,Mixed,"4 (calls, visits)",13,PMOMONDI,Medium Priority
939,2024-06-08,Service call,Inspect equipment,25711156,Philip Flores,Ramirez-Frank,57,514,311,Q1038,494214,28,Reseller,FloApp,Mixed,"3 (calls, visits)",5,PMNYABUTO,Medium Priority
940,2025-03-15,Installation request,Upgrade system,15383380,Cheryl Martinez,Hanson Inc,133,858,368,Q1039,386145,25,Individual,Email,High-margin,"6 (calls, visits, emails)",12,PMAMAI,Medium Priority
941,2024-12-27,Consultation,Repair machinery,30882397,Jason Steele,"Saunders, Ferrell and Kelly",29,106,378,Q1040,100821,10,Corporate,Email,Low-margin,"6 (calls, visits, emails)",10,PMAMAI,Medium Priority
942,2024-06-19,Service call,Upgrade system,58048891,Nicholas Austin,"Noble, Yang and Lloyd",47,858,340,Q1041,84562,25,Corporate,Shopify,High-margin,"6 (calls, visits, emails)",0,PMKILONZO,Medium Priority
943,2025-01-06,Service call,Upgrade system,77163879,Jasmine Mathews,"Palmer, Hayes and Hernandez",173,106,312,Q1042,44129,6,Corporate,Walk-in,High-margin,"5 (calls, visits)",5,PMOMONDI,Medium Priority
944,2024-08-13,Installation request,Repair machinery,93390208,Victor White,Lloyd LLC,99,369,324,Q1043,381320,18,Contractor,FloApp,Mixed,1 (visit),9,PMMULWA,Medium Priority
945,2025-01-30,Consultation,Install product,93356489,Angela Liu DDS,"Lawson, Elliott and Kelley",137,858,352,Q1044,240160,11,NGO,Referral,High-margin,"3 (calls, visits)",3,PMNYABUTO,Medium Priority
946,2025-01-04,Installation request,Upgrade system,26501969,Zachary Hamilton,Howe LLC,105,369,370,Q1045,336894,5,Government,Shopify,High-margin,"6 (calls, visits, emails)",13,PMMULWA,High Priority
947,2024-08-06,Consultation,Install product,10437807,Kyle Hernandez,Mccullough-Fernandez,32,514,311,Q1046,365590,0,Government,Shopify,High-margin,"6 (calls, visits, emails)",3,PMKILONZO,Medium Priority
948,2025-02-10,Consultation,Install product,07275941,William Hicks,Olsen-Robinson,180,445,353,Q1047,136081,7,Reseller,Referral,High-margin,2 (calls),15,PMAMAI,Medium Priority
949,2024-10-20,Installation request,Upgrade system,12985215,Leah Chung,"Bruce, Knapp and Zhang",115,858,300,Q1048,221421,25,Individual,Referral,High-margin,"6 (calls, visits, emails)",8,PMMULWA,Medium Priority
950,2024-08-16,Installation request,Repair machinery,72188048,Connie Meyer,"Hunt, Juarez and Santos",11,858,304,Q1049,33142,0,Individual,FloApp,Mixed,"5 (calls, visits)",10,PMMULWA,Medium Priority
951,2025-04-10,Service call,Upgrade system,89808291,Richard Fox,Hendrix Inc,71,106,350,Q1050,126009,19,Corporate,Shopify,Mixed,"5 (calls, visits)",13,PMNYABUTO,Medium Priority
952,2025-03-26,Consultation,Upgrade system,55106917,Bruce Marsh,Howard-Vang,54,858,340,Q1051,296202,5,Reseller,Walk-in,High-margin,2 (calls),3,PMOMONDI,Medium Priority
953,2024-08-27,Installation request,Inspect equipment,50635967,Sheri Coleman,Thomas LLC,151,369,341,Q1052,131830,2,Contractor,Website,High-margin,"6 (calls, visits, emails)",4,PMAMAI,High Priority
954,2025-01-29,Consultation,Install product,66151028,Amanda Castro,"Malone, Ruiz and Smith",156,858,303,Q1053,414199,23,Individual,Shopify,Low-margin,"3 (calls, visits)",5,PMNYABUTO,Low Priority
955,2024-07-13,Consultation,Repair machinery,11170636,Grace Rose,Spencer-Marks,86,369,368,Q1054,465641,7,Corporate,Shopify,Low-margin,"6 (calls, visits, emails)",1,PMMULWA,Medium Priority
956,2024-11-17,Service call,Repair machinery,91543816,Marie Colon,"Garner, Ramos and Garcia",170,514,381,Q1055,328748,27,Contractor,Website,High-margin,"5 (calls, visits)",3,PMAMAI,Medium Priority
957,2025-01-29,Service call,Inspect equipment,11615384,Kelly Franco,"Lambert, Friedman and Lopez",77,369,311,Q1056,65570,15,NGO,Walk-in,High-margin,"4 (calls, visits)",0,PMKILONZO,Medium Priority
958,2025-02-14,Service call,Upgrade system,23593931,Gregory Hopkins,Lynch-Reynolds,170,514,326,Q1057,385362,13,Reseller,FloApp,Low-margin,"4 (calls, visits)",5,PMNYABUTO,Medium Priority
959,2025-04-05,Installation request,Install product,86612027,Robert Jefferson,Chang-Patterson,55,106,380,Q1058,343061,27,Contractor,Website,Mixed,"3 (calls, visits)",15,PMOMONDI,Medium Priority
960,2024-07-07,Consultation,Install product,28043096,William Allen DVM,Cox-Parker,50,106,394,Q1059,158431,29,Contractor,Walk-in,Low-margin,"5 (calls, visits)",0,PMOMONDI,Medium Priority
961,2025-04-23,Consultation,Repair machinery,82200822,Gregory Sanchez,Sanders LLC,65,445,314,Q1060,496110,6,Contractor,FloApp,High-margin,1 (visit),4,PMMULWA,Medium Priority
962,2025-02-19,Installation request,Upgrade system,99038877,Drew Wheeler,"Ewing, Contreras and Howard",61,514,344,Q1061,396239,17,Corporate,FloApp,High-margin,"4 (calls, visits)",13,PMOMONDI,Medium Priority
963,2024-09-30,Installation request,Repair machinery,83849176,Dean Baldwin,Blair Ltd,74,369,325,Q1062,385215,27,Corporate,FloApp,Mixed,1 (visit),9,PMNYABUTO,Medium Priority
964,2025-01-26,Service call,Upgrade system,92115885,Thomas Neal,Meyers Group,120,858,354,Q1063,337648,23,NGO,FloApp,Low-margin,"5 (calls, visits)",12,PMKILONZO,Medium Priority
965,2024-08-18,Service call,Inspect equipment,03986064,William Morrison,Anderson Inc,105,514,357,Q1064,112686,28,Contractor,Referral,High-margin,"4 (calls, visits)",9,PMOMONDI,Medium Priority
966,2024-06-03,Consultation,Inspect equipment,94583389,Jay Miles,Green-Hanna,111,514,314,Q1065,119321,25,NGO,Shopify,Low-margin,"3 (calls, visits)",7,PMAMAI,Low Priority
967,2024-06-21,Service call,Inspect equipment,84698564,Austin Larson,"Gallegos, Fry and Brown",105,369,399,Q1066,189863,3,Contractor,FloApp,Low-margin,"6 (calls, visits, emails)",10,PMNYABUTO,Medium Priority
968,2024-08-30,Installation request,Inspect equipment,50669522,Paul Floyd,Smith-Francis,69,106,308,Q1067,227160,9,Government,Walk-in,Low-margin,1 (visit),8,PMOMONDI,Medium Priority
969,2024-08-30,Consultation,Install product,77189011,Edward Hinton,"Lamb, Jackson and Taylor",156,858,387,Q1068,421467,13,NGO,FloApp,High-margin,1 (visit),15,PMKILONZO,Medium Priority
970,2024-10-12,Service call,Inspect equipment,34925754,Tanner Hayes,Morris PLC,117,514,315,Q1069,262389,5,Government,FloApp,Low-margin,2 (calls),0,PMMULWA,Medium Priority
971,2025-03-26,Service call,Install product,58609961,Shelley Price,Johnson-Lewis,128,445,316,Q1070,466263,30,Reseller,Website,Mixed,"5 (calls, visits)",1,PMMULWA,Medium Priority
972,2025-04-17,Consultation,Install product,34541107,Karen Fisher,"Harrington, Rosales and Blackburn",27,858,312,Q1071,460080,25,Reseller,Email,High-margin,"3 (calls, visits)",11,PMKILONZO,Medium Priority
973,2024-08-18,Service call,Inspect equipment,55475057,Robert Booth,West Ltd,136,106,306,Q1072,231216,9,Corporate,Shopify,High-margin,"6 (calls, visits, emails)",3,PMMULWA,Medium Priority
974,2024-11-14,Consultation,Install product,59708109,Justin Stone,Henderson LLC,17,369,306,Q1073,457776,0,Individual,Website,Mixed,"6 (calls, visits, emails)",13,PMNYABUTO,High Priority
975,2024-09-25,Service call,Install product,47824647,Ashley Hill,"Bailey, Fuller and Mcgrath",58,445,368,Q1074,27590,29,Corporate,Website,High-margin,1 (visit),3,PMAMAI,Medium Priority
976,2025-03-12,Installation request,Install product,03304580,Henry Collier,Morris-Bowen,77,445,388,Q1075,346257,25,Reseller,FloApp,Low-margin,2 (calls),14,PMAMAI,Medium Priority
977,2024-12-26,Service call,Inspect equipment,86595813,Lisa Peters,"Cook, Wallace and Donovan",47,106,352,Q1076,358920,14,Corporate,Website,Low-margin,2 (calls),15,PMKILONZO,Medium Priority
978,2024-08-29,Installation request,Inspect equipment,65687012,Teresa Jones,"Haas, Rice and Clarke",133,369,311,Q1077,163313,24,NGO,Email,High-margin,"5 (calls, visits)",7,PMNYABUTO,Medium Priority
979,2024-09-20,Consultation,Install product,92082342,Brianna Collins,Mendez-Dominguez,29,858,307,Q1078,136398,0,Corporate,Walk-in,High-margin,"4 (calls, visits)",6,PMKILONZO,Medium Priority
980,2024-09-11,Service call,Inspect equipment,63921335,Megan Savage,"Walton, Cooke and Hall",63,106,397,Q1079,301637,16,NGO,FloApp,Low-margin,"6 (calls, visits, emails)",4,PMOMONDI,Low Priority
981,2024-05-06,Service call,Repair machinery,11852034,Nicole Robinson,Anderson-Khan,66,445,349,Q1080,262204,27,Government,Referral,High-margin,"4 (calls, visits)",6,PMAMAI,Medium Priority
982,2024-09-29,Installation request,Upgrade system,86791750,Craig Powell,Lewis-Jordan,52,445,373,Q1081,364939,3,Individual,Shopify,Mixed,"6 (calls, visits, emails)",3,PMNYABUTO,Medium Priority
983,2024-10-22,Service call,Upgrade system,98185373,Kelly Rodriguez,"Navarro, Alvarado and Thompson",57,445,303,Q1082,274687,21,Government,Shopify,High-margin,1 (visit),2,PMMULWA,Medium Priority
984,2024-12-26,Installation request,Repair machinery,20158593,Michele Garcia,Sloan Ltd,48,858,364,Q1083,250888,16,NGO,Website,High-margin,"3 (calls, visits)",3,PMAMAI,Medium Priority
985,2025-05-04,Consultation,Upgrade system,60283156,George Mitchell,"Nguyen, Scott and Hernandez",118,369,337,Q1084,124326,12,Individual,Referral,High-margin,"5 (calls, visits)",15,PMOMONDI,Medium Priority
986,2024-12-21,Installation request,Install product,88933952,Barbara Alvarez,Clark Group,22,369,314,Q1085,140123,3,Contractor,Website,Low-margin,2 (calls),2,PMOMONDI,Medium Priority
987,2025-02-13,Service call,Inspect equipment,98410674,Brian Le,Rose-Lopez,67,106,389,Q1086,400297,12,Reseller,Shopify,High-margin,"6 (calls, visits, emails)",8,PMKILONZO,Medium Priority
988,2024-08-16,Service call,Repair machinery,78803466,Rachel Brewer,"Shelton, Clark and Garcia",62,445,381,Q1087,175991,22,Government,FloApp,Low-margin,1 (visit),5,PMOMONDI,Low Priority
989,2025-02-27,Consultation,Upgrade system,09958761,Susan Stevenson,Leonard-Powers,88,369,321,Q1088,190209,21,Contractor,Walk-in,High-margin,"4 (calls, visits)",4,PMAMAI,Medium Priority
990,2025-02-19,Consultation,Upgrade system,38697732,Amy Martinez,Simon-Ramos,119,445,302,Q1089,118069,8,Contractor,Walk-in,Low-margin,1 (visit),11,PMKILONZO,Medium Priority
991,2024-09-05,Consultation,Install product,23996204,Angela Gutierrez,"Stone, Alvarez and Richard",135,369,360,Q1090,82349,1,Contractor,Referral,Low-margin,"3 (calls, visits)",7,PMOMONDI,Medium Priority
992,2024-05-12,Consultation,Repair machinery,88176371,Dale Terrell,Lopez Ltd,47,514,312,Q1091,184699,25,Corporate,FloApp,High-margin,"6 (calls, visits, emails)",11,PMOMONDI,Medium Priority
993,2024-11-15,Installation request,Upgrade system,34054280,Sharon Miller,Wright and Sons,74,445,358,Q1092,32109,26,NGO,FloApp,Low-margin,"5 (calls, visits)",15,PMAMAI,Low Priority
994,2024-11-21,Installation request,Install product,86945988,Bryan Miller,"Stewart, Butler and Brandt",47,858,328,Q1093,370698,4,NGO,Shopify,High-margin,"5 (calls, visits)",13,PMMULWA,Medium Priority
995,2024-06-20,Service call,Install product,64623681,Matthew Hensley,"Hogan, Solis and Martin",59,858,381,Q1094,81587,30,NGO,Email,Low-margin,"4 (calls, visits)",5,PMMULWA,Low Priority
996,2024-08-24,Consultation,Inspect equipment,56322374,Christina Robinson,"Martin, Roberts and Griffith",94,858,375,Q1095,243782,30,NGO,FloApp,High-margin,"5 (calls, visits)",10,PMOMONDI,Medium Priority
997,2024-06-15,Service call,Upgrade system,11210888,Robert King,Holland and Sons,126,106,344,Q1096,176209,3,Contractor,Shopify,Mixed,2 (calls),14,PMNYABUTO,Medium Priority
998,2024-09-29,Consultation,Inspect equipment,98091048,James Nash,Floyd-Wilson,169,106,385,Q1097,110252,9,Reseller,FloApp,High-margin,"3 (calls, visits)",0,PMKILONZO,Medium Priority
999,2024-10-29,Service call,Repair machinery,33093487,Joel Coleman,Smith Ltd,82,106,315,Q1098,52888,15,NGO,Website,High-margin,"6 (calls, visits, emails)",0,PMAMAI,Medium Priority
1000,2024-08-13,Installation request,Repair machinery,35106901,Miranda Dorsey,Rose Ltd,99,445,400,Q1099,475368,16,Corporate,Referral,High-margin,1 (visit),8,PMNYABUTO,Medium Priority
1001,2024-05-13,Consultation,Repair machinery,27510230,Roy Pena,Schroeder and Sons,120,106,310,Q1100,177464,7,Contractor,Shopify,Mixed,2 (calls),12,PMKILONZO,Medium Priority
1002,2024-07-19,Installation request,Install product,90634072,John Myers,Johnson-Smith,76,445,376,Q1101,187915,5,Government,Shopify,Low-margin,"3 (calls, visits)",4,PMNYABUTO,Medium Priority
1003,2025-02-02,Installation request,Repair machinery,54415668,Jennifer Gregory,Chambers-Cabrera,116,106,325,Q1102,182843,9,Contractor,FloApp,Low-margin,"6 (calls, visits, emails)",14,PMOMONDI,Medium Priority
1004,2024-07-03,Service call,Upgrade system,62540891,Rachel Nguyen,Keith LLC,121,514,317,Q1103,301075,14,Corporate,FloApp,Low-margin,"6 (calls, visits, emails)",11,PMKILONZO,Medium Priority
1005,2024-08-03,Installation request,Upgrade system,48120749,Tanner Blankenship,Rodriguez-Vasquez,129,858,352,Q1104,266845,0,Government,Website,Mixed,"4 (calls, visits)",2,PMNYABUTO,Medium Priority
1006,2025-03-14,Consultation,Inspect equipment,81206705,Lindsay Martin,Johnson-Banks,72,106,365,Q1105,220617,4,Government,Referral,Mixed,"3 (calls, visits)",1,PMKILONZO,Medium Priority
1007,2024-11-21,Service call,Upgrade system,73394183,Allison Duke,Jackson Inc,11,858,397,Q1106,483705,16,Reseller,Website,High-margin,"3 (calls, visits)",3,PMMULWA,Medium Priority
1008,2024-11-29,Consultation,Install product,83140872,Susan Mcdonald,Walker and Sons,84,106,361,Q1107,387069,10,Contractor,Website,Low-margin,"6 (calls, visits, emails)",1,PMNYABUTO,Medium Priority
1009,2024-05-08,Consultation,Repair machinery,04059041,Sarah Thomas,Peters Ltd,153,858,317,Q1108,142201,28,Corporate,Email,Mixed,"3 (calls, visits)",9,PMAMAI,Medium Priority
1010,2025-01-21,Installation request,Repair machinery,05041288,Ernest Wilson,Jones Inc,39,514,300,Q1109,105227,19,Contractor,Referral,High-margin,2 (calls),3,PMKILONZO,Medium Priority
1011,2024-08-21,Service call,Upgrade system,23089714,Hannah Price,Choi-Jenkins,110,514,315,Q1110,182246,12,Reseller,Walk-in,Mixed,"5 (calls, visits)",8,PMOMONDI,Medium Priority
1012,2024-11-10,Consultation,Upgrade system,60887910,Loretta Hooper,Miller-Lopez,178,106,315,Q1111,251677,4,Corporate,Website,High-margin,"6 (calls, visits, emails)",7,PMNYABUTO,High Priority
1013,2024-11-04,Consultation,Repair machinery,50546063,Kathryn Carter,Henry-Dixon,131,858,337,Q1112,176754,21,Contractor,Referral,High-margin,"6 (calls, visits, emails)",8,PMKILONZO,High Priority
1014,2024-06-20,Installation request,Install product,71270992,Amanda Kane,"Martin, Adkins and Lopez",128,858,354,Q1113,102681,0,NGO,Shopify,High-margin,"4 (calls, visits)",0,PMOMONDI,Medium Priority
1015,2024-08-07,Installation request,Install product,53589468,Jason Butler,"Smith, Hall and Jones",175,106,356,Q1114,47351,29,NGO,Walk-in,High-margin,"6 (calls, visits, emails)",14,PMMULWA,Medium Priority
1016,2025-02-11,Service call,Repair machinery,11138465,Richard Berger,Humphrey Group,101,106,364,Q1115,135509,11,Corporate,Referral,High-margin,1 (visit),5,PMNYABUTO,Medium Priority
1017,2024-12-09,Installation request,Inspect equipment,58095722,Dr. Anita Hoffman DVM,Thompson Ltd,127,369,335,Q1116,436545,24,Corporate,FloApp,Mixed,1 (visit),15,PMKILONZO,Medium Priority
1018,2024-11-04,Installation request,Repair machinery,06815239,Angela Gonzalez,Greer and Sons,157,106,399,Q1117,370456,16,NGO,Walk-in,Low-margin,"5 (calls, visits)",11,PMOMONDI,Medium Priority
1019,2024-10-03,Consultation,Upgrade system,41061479,Christine Kent,Mitchell PLC,27,514,303,Q1118,471709,23,Individual,Walk-in,High-margin,1 (visit),15,PMKILONZO,Medium Priority
1020,2024-09-25,Installation request,Repair machinery,78330114,Julie Butler,Gross Ltd,70,514,322,Q1119,406767,28,Reseller,Shopify,Mixed,1 (visit),8,PMAMAI,Medium Priority
1021,2024-07-02,Service call,Install product,15702531,Timothy Davenport,"Mitchell, Perez and Kim",123,445,377,Q1120,355979,26,Contractor,Walk-in,High-margin,"6 (calls, visits, emails)",14,PMKILONZO,High Priority
1022,2024-06-25,Service call,Repair machinery,91648947,Loretta Carlson,Solomon-Miller,60,445,362,Q1121,254383,21,NGO,Walk-in,High-margin,2 (calls),13,PMOMONDI,Medium Priority
1023,2024-08-24,Service call,Install product,21459159,Angela Reyes,"Cabrera, Osborn and Higgins",159,514,380,Q1122,375569,3,Individual,Website,Mixed,1 (visit),11,PMKILONZO,Medium Priority
1024,2025-01-21,Consultation,Install product,40994822,Audrey Williams,"Ferguson, Morris and Davis",97,369,387,Q1123,407718,30,Corporate,Email,Low-margin,2 (calls),6,PMOMONDI,Medium Priority
1025,2024-09-29,Installation request,Inspect equipment,68226173,William Greer,Russo-Johnson,101,106,371,Q1124,472438,4,Contractor,Shopify,High-margin,"4 (calls, visits)",2,PMOMONDI,Medium Priority
1026,2025-01-25,Service call,Repair machinery,77785820,William May,"Neal, Thompson and Clark",142,445,312,Q1125,86827,15,Individual,Website,Low-margin,"3 (calls, visits)",0,PMNYABUTO,Medium Priority
1027,2025-01-03,Installation request,Inspect equipment,14108807,Mark Watson,Hernandez-Hernandez,109,445,308,Q1126,482411,27,Individual,FloApp,High-margin,"5 (calls, visits)",7,PMOMONDI,Medium Priority
1028,2024-10-30,Consultation,Inspect equipment,44059265,Katelyn Adams,Welch-Austin,112,106,307,Q1127,311230,22,Contractor,Referral,High-margin,"3 (calls, visits)",0,PMAMAI,Medium Priority
1029,2024-08-09,Installation request,Upgrade system,07645037,James Ellis,"Flowers, Castro and Irwin",76,369,342,Q1128,490582,24,Contractor,Walk-in,High-margin,"6 (calls, visits, emails)",10,PMAMAI,High Priority
1030,2024-06-23,Service call,Upgrade system,91445890,Jerry Bowers,Oneal-Wagner,28,106,378,Q1129,393622,26,Contractor,FloApp,Mixed,"4 (calls, visits)",2,PMOMONDI,Medium Priority
1031,2025-01-22,Installation request,Repair machinery,73918088,Charles Harris,"Martin, Bishop and Hunt",79,514,313,Q1130,43664,15,Government,Walk-in,Low-margin,"4 (calls, visits)",15,PMMULWA,Medium Priority
1032,2024-08-12,Service call,Install product,81522813,Dennis Wilkins,"Barnes, Roy and Murray",24,514,399,Q1131,434900,25,Individual,Referral,Low-margin,"4 (calls, visits)",0,PMOMONDI,Low Priority
1033,2024-10-13,Installation request,Install product,86848968,Rachel Garcia,Jones Ltd,109,858,389,Q1132,90660,13,Corporate,Shopify,Low-margin,1 (visit),14,PMAMAI,Medium Priority
1034,2024-10-28,Consultation,Inspect equipment,85216938,Francisco Garza,"Taylor, Moss and Stewart",100,369,343,Q1133,253864,29,Contractor,Walk-in,High-margin,"5 (calls, visits)",0,PMNYABUTO,Medium Priority
1035,2024-10-02,Installation request,Install product,84524067,Brian Lewis,Newman-Russo,13,369,307,Q1134,65166,1,Individual,Shopify,High-margin,1 (visit),10,PMMULWA,Medium Priority
1036,2024-12-08,Consultation,Repair machinery,36549725,Krystal Hall,"Anderson, Wright and Reynolds",84,369,377,Q1135,233571,15,Corporate,Website,Low-margin,1 (visit),8,PMOMONDI,Medium Priority
1037,2024-07-09,Service call,Upgrade system,44695435,Robert Harrison,Conway-Greene,101,369,356,Q1136,398887,9,NGO,Referral,High-margin,"6 (calls, visits, emails)",7,PMOMONDI,Medium Priority
1038,2024-05-18,Installation request,Inspect equipment,66730075,Jeffery Espinoza,"Reed, Mann and Morgan",148,106,313,Q1137,53310,11,Reseller,Email,Mixed,"4 (calls, visits)",8,PMAMAI,Medium Priority
1039,2024-05-31,Service call,Repair machinery,46173103,Joshua Blair,Rodriguez-Peterson,143,369,339,Q1138,413973,17,Individual,Website,High-margin,2 (calls),1,PMNYABUTO,Medium Priority
1040,2025-02-10,Consultation,Upgrade system,13065081,Alec Brooks,"Stewart, Thomas and Holden",176,858,314,Q1139,36161,15,Contractor,FloApp,High-margin,"4 (calls, visits)",9,PMAMAI,Medium Priority
1041,2024-07-11,Service call,Inspect equipment,04197783,Robin Hull,Cole Inc,166,858,363,Q1140,34882,27,Reseller,Shopify,High-margin,2 (calls),6,PMKILONZO,Medium Priority
1042,2024-07-26,Service call,Upgrade system,62742561,Wendy Ryan,"Hull, Curtis and Perry",146,514,384,Q1141,184985,1,Government,FloApp,Mixed,"5 (calls, visits)",10,PMMULWA,Medium Priority
1043,2024-11-21,Consultation,Repair machinery,79709202,Andrea James,"Snyder, Chandler and Hood",17,445,392,Q1142,459760,19,Reseller,Shopify,Low-margin,"6 (calls, visits, emails)",1,PMAMAI,Medium Priority
1044,2024-07-26,Consultation,Upgrade system,53672584,Christine Baker,Hill and Sons,83,106,359,Q1143,247211,18,Corporate,Referral,Low-margin,"3 (calls, visits)",5,PMKILONZO,Medium Priority
1045,2024-05-18,Installation request,Repair machinery,96685373,Benjamin Byrd,Ayala LLC,43,514,335,Q1144,444214,21,NGO,Website,Mixed,"5 (calls, visits)",9,PMMULWA,Medium Priority
1046,2025-05-01,Consultation,Upgrade system,44488303,Brian Smith,Mitchell-Brown,19,106,335,Q1145,214632,8,Corporate,FloApp,Low-margin,"5 (calls, visits)",0,PMAMAI,Medium Priority
1047,2024-06-19,Installation request,Inspect equipment,17430304,Jorge Stokes,"Keith, Williams and Lopez",77,369,356,Q1146,267600,0,Reseller,Website,High-margin,"3 (calls, visits)",15,PMOMONDI,High Priority
1048,2024-06-28,Service call,Upgrade system,14522835,Angela Mckinney,Nguyen LLC,24,106,310,Q1147,169937,28,Government,Referral,High-margin,1 (visit),14,PMNYABUTO,Medium Priority
1049,2025-02-20,Installation request,Inspect equipment,41611514,Victoria Walker,"Morgan, Wilson and Rodriguez",76,858,316,Q1148,144233,20,Individual,Walk-in,Mixed,"6 (calls, visits, emails)",1,PMNYABUTO,Medium Priority
1050,2024-12-19,Service call,Install product,71467310,Jennifer Mendoza,"Salas, Young and Castillo",57,106,356,Q1149,329029,10,Contractor,Referral,Low-margin,1 (visit),8,PMMULWA,Medium Priority
1051,2024-09-14,Service call,Inspect equipment,86893507,Jessica Boone,Rios PLC,148,514,376,Q1150,148048,11,Contractor,Website,Low-margin,1 (visit),2,PMNYABUTO,Medium Priority
1052,2025-02-25,Service call,Inspect equipment,24759284,Jennifer Schneider,King and Sons,156,445,387,Q1151,243087,2,Corporate,Shopify,Mixed,2 (calls),0,PMMULWA,Medium Priority
1053,2025-01-15,Consultation,Inspect equipment,35422990,Angelica Perez,Drake and Sons,95,858,383,Q1152,221458,15,NGO,Referral,High-margin,"3 (calls, visits)",1,PMMULWA,Medium Priority
1054,2025-03-15,Service call,Install product,40420484,Andrea Gonzales,"Harris, Miller and Heath",37,106,327,Q1153,448642,10,Government,Email,Low-margin,"5 (calls, visits)",11,PMNYABUTO,Medium Priority
1055,2024-12-29,Installation request,Install product,15549979,Cindy Sampson,"Brown, Kent and Howard",178,369,348,Q1154,424828,20,Contractor,Website,Mixed,2 (calls),13,PMOMONDI,Medium Priority
1056,2025-04-05,Consultation,Install product,21467258,Brian Noble,"Hernandez, Rasmussen and Gonzales",145,514,377,Q1155,272636,21,Government,Referral,High-margin,"3 (calls, visits)",6,PMOMONDI,Medium Priority
1057,2025-04-01,Installation request,Repair machinery,33714095,Mark Peterson,Ritter Ltd,94,369,398,Q1156,214773,7,Reseller,FloApp,Low-margin,1 (visit),7,PMKILONZO,Medium Priority
1058,2025-02-21,Consultation,Upgrade system,08424173,Andrew Carroll,Gonzales-Bradley,102,514,345,Q1157,318840,16,Contractor,FloApp,Low-margin,"5 (calls, visits)",7,PMKILONZO,Medium Priority
1059,2024-09-22,Installation request,Repair machinery,34952585,Scott Byrd,Wheeler-Webster,155,369,368,Q1158,153421,24,Reseller,Email,Low-margin,2 (calls),8,PMMULWA,Medium Priority
1060,2024-09-14,Installation request,Inspect equipment,52653019,Lori Boone,"Lynch, Russell and Crosby",40,514,352,Q1159,245737,16,Individual,Referral,High-margin,2 (calls),5,PMKILONZO,Medium Priority
1061,2024-05-09,Service call,Repair machinery,46515416,Marc York,Robinson-Sanders,40,858,333,Q1160,426347,17,Corporate,Shopify,Low-margin,2 (calls),1,PMKILONZO,Medium Priority
1062,2024-10-14,Service call,Repair machinery,60016994,Amy Salas,"Gilmore, Bean and Roberts",28,369,365,Q1161,479494,16,Reseller,Shopify,High-margin,"4 (calls, visits)",7,PMMULWA,Medium Priority
